Loan_ID,Age,Income,Employment_Length_Years,Home_Ownership,Loan_Intent,Loan_Amount,Interest_Rate,Loan_Status
10149,49,89131.0,3,MORTGAGE,EDUCATION,24203.0,17.69,0
10150,56,59087.0,4,MORTGAGE,PERSONAL,4044.0,12.68,0
10151,33,47828.0,8,RENT,DEBTCONSOLIDATION,18802.0,11.08,0
10152,52,96610.0,11,RENT,VENTURE,20133.0,12.46,0
10153,27,36401.0,6,RENT,MEDICAL,29418.0,14.84,1
10154,42,50193.0,7,MORTGAGE,MEDICAL,25762.0,5.68,0
10155,48,79864.0,4,OWN,DEBTCONSOLIDATION,19483.0,17.7,0
10156,22,55307.0,4,OWN,EDUCATION,5392.0,11.75,0
10157,62,54611.0,12,RENT,PERSONAL,21156.0,10.3,1
10158,26,78791.0,10,RENT,VENTURE,12672.0,7.44,0
10159,48,46950.0,6,RENT,EDUCATION,16444.0,11.65,1
10160,48,111240.0,10,MORTGAGE,DEBTCONSOLIDATION,8784.0,12.45,0
10161,64,112403.0,12,MORTGAGE,DEBTCONSOLIDATION,19929.0,11.15,1
10162,64,37745.0,13,RENT,MEDICAL,3070.0,15.0,0
10163,40,90243.0,11,OWN,VENTURE,24906.0,11.39,0
10164,50,38866.0,7,RENT,EDUCATION,3850.0,18.96,1
10165,31,67245.0,8,RENT,MEDICAL,23437.0,13.89,1
10166,48,79724.0,14,MORTGAGE,VENTURE,14390.0,16.8,1
10167,45,106354.0,13,OWN,PERSONAL,4939.0,7.03,0
10168,59,86374.0,1,RENT,PERSONAL,12095.0,11.06,1
10169,53,65116.0,2,RENT,MEDICAL,18301.0,10.22,1
10170,21,116029.0,11,MORTGAGE,EDUCATION,9194.0,13.47,0
10171,47,55447.0,11,MORTGAGE,VENTURE,7851.0,17.56,0
10172,33,65431.0,1,OWN,PERSONAL,25057.0,6.6,0
10173,61,52908.0,9,RENT,PERSONAL,18378.0,6.52,1
10174,23,64336.0,6,RENT,EDUCATION,2678.0,17.4,1
10175,59,75992.0,11,MORTGAGE,MEDICAL,2988.0,8.48,0
10176,26,90350.0,1,OWN,DEBTCONSOLIDATION,29051.0,14.86,1
10177,28,104561.0,11,RENT,VENTURE,28183.0,13.1,1
10178,47,86955.0,13,OWN,PERSONAL,29445.0,17.16,1
10179,29,96240.0,14,MORTGAGE,DEBTCONSOLIDATION,3502.0,7.25,0
10180,57,55093.0,1,RENT,EDUCATION,20173.0,7.32,0
10181,53,41155.0,13,RENT,MEDICAL,23665.0,13.3,1
10182,62,81607.0,13,OWN,VENTURE,18198.0,18.75,1
10183,64,68487.0,1,MORTGAGE,EDUCATION,23411.0,11.31,0
10184,44,76258.0,14,MORTGAGE,MEDICAL,19809.0,10.08,1
10185,35,55963.0,11,MORTGAGE,EDUCATION,17867.0,13.99,0
10186,52,85124.0,12,RENT,PERSONAL,16266.0,18.53,1
10187,52,87870.0,3,RENT,PERSONAL,8654.0,17.22,0
10188,44,91547.0,0,MORTGAGE,DEBTCONSOLIDATION,4440.0,19.44,1
10189,61,99110.0,1,RENT,EDUCATION,12234.0,5.82,0
10190,32,88554.0,2,MORTGAGE,PERSONAL,25240.0,7.08,0
10191,59,55936.0,6,MORTGAGE,MEDICAL,9367.0,14.03,1
10192,22,39426.0,9,OWN,DEBTCONSOLIDATION,27854.0,16.99,1
10193,23,62606.0,0,RENT,VENTURE,15490.0,9.49,1
10194,57,82832.0,5,MORTGAGE,EDUCATION,4594.0,8.85,0
10195,37,63151.0,2,MORTGAGE,PERSONAL,23073.0,16.52,0
10196,22,114303.0,2,OWN,MEDICAL,20820.0,6.29,1
10197,22,46308.0,3,OWN,EDUCATION,7517.0,10.67,0
10198,48,97522.0,12,RENT,MEDICAL,28781.0,12.58,1
10199,43,80671.0,3,RENT,DEBTCONSOLIDATION,11219.0,13.34,1
10200,57,37204.0,6,RENT,PERSONAL,8310.0,15.7,1
10201,52,66131.0,2,RENT,PERSONAL,5539.0,10.47,0
10202,53,87428.0,7,MORTGAGE,DEBTCONSOLIDATION,16744.0,14.08,0
10203,21,68870.0,7,MORTGAGE,MEDICAL,21867.0,13.7,0
10204,39,84067.0,10,MORTGAGE,EDUCATION,25755.0,13.17,0
10205,22,93585.0,12,OWN,MEDICAL,20625.0,14.47,0
10206,64,56607.0,6,RENT,EDUCATION,8378.0,9.13,1
10207,46,59968.0,1,MORTGAGE,DEBTCONSOLIDATION,21149.0,6.69,0
10208,52,46908.0,4,RENT,VENTURE,11365.0,7.17,0
10209,26,61423.0,5,RENT,EDUCATION,13422.0,8.64,1
10210,52,109707.0,11,OWN,PERSONAL,29926.0,12.5,1
10211,24,113257.0,9,MORTGAGE,PERSONAL,6911.0,17.27,0
10212,31,96215.0,3,MORTGAGE,PERSONAL,2403.0,15.32,0
10213,37,90835.0,12,RENT,MEDICAL,15180.0,16.55,0
10214,58,84429.0,9,MORTGAGE,MEDICAL,29301.0,10.41,1
10215,44,117152.0,4,RENT,MEDICAL,21766.0,11.17,0
10216,25,73458.0,13,RENT,PERSONAL,6163.0,11.01,1
10217,54,81169.0,8,MORTGAGE,EDUCATION,26014.0,8.19,0
10218,26,42659.0,10,MORTGAGE,PERSONAL,18471.0,6.36,1
10219,42,95614.0,6,OWN,EDUCATION,16336.0,13.77,1
10220,31,112240.0,1,OWN,MEDICAL,27734.0,19.35,0
10221,36,67793.0,10,MORTGAGE,VENTURE,24200.0,7.84,0
10222,53,81473.0,0,MORTGAGE,MEDICAL,7470.0,6.15,0
10223,29,90751.0,1,MORTGAGE,DEBTCONSOLIDATION,16953.0,16.41,0
10224,26,113915.0,0,OWN,EDUCATION,8276.0,9.04,0
10225,36,89254.0,10,MORTGAGE,VENTURE,7739.0,17.12,0
10226,49,76258.0,1,MORTGAGE,MEDICAL,22657.0,15.36,1
10227,23,109218.0,10,RENT,VENTURE,29433.0,18.74,0
10228,40,100344.0,2,MORTGAGE,PERSONAL,27957.0,11.22,1
10229,56,68840.0,9,OWN,EDUCATION,8523.0,14.77,0
10230,39,67430.0,14,RENT,DEBTCONSOLIDATION,23387.0,12.01,1
10231,46,58091.0,10,MORTGAGE,PERSONAL,26422.0,14.33,1
10232,23,67983.0,10,RENT,VENTURE,16993.0,11.79,1
10233,39,58989.0,14,OWN,MEDICAL,14873.0,8.14,0
10234,40,110451.0,11,MORTGAGE,EDUCATION,24990.0,12.61,1
10235,52,53990.0,13,RENT,DEBTCONSOLIDATION,15419.0,12.9,1
10236,27,115360.0,11,RENT,MEDICAL,16457.0,16.85,0
10237,61,71081.0,8,MORTGAGE,DEBTCONSOLIDATION,4064.0,15.8,0
10238,53,76258.0,3,RENT,EDUCATION,7315.0,14.79,0
10239,60,51241.0,11,RENT,VENTURE,12566.0,7.09,0
10240,59,40939.0,8,RENT,DEBTCONSOLIDATION,2317.0,15.59,1
10241,38,82562.0,10,OWN,EDUCATION,19886.0,12.5,0
10242,60,70063.0,2,MORTGAGE,DEBTCONSOLIDATION,8130.0,18.02,1
10243,21,111721.0,11,MORTGAGE,MEDICAL,9419.0,18.38,0
10244,31,62045.0,0,OWN,DEBTCONSOLIDATION,4042.0,6.27,0
10245,48,79769.0,10,MORTGAGE,MEDICAL,6598.0,16.99,1
10246,45,82118.0,4,OWN,MEDICAL,12214.0,6.03,1
10247,43,119703.0,9,RENT,EDUCATION,2118.0,10.64,0
10248,51,56625.0,9,MORTGAGE,PERSONAL,2709.0,13.09,1
10249,50,62076.0,13,MORTGAGE,DEBTCONSOLIDATION,17857.0,7.57,1
10250,62,99805.0,1,OWN,VENTURE,21941.0,15.95,0
10251,55,79605.0,3,RENT,MEDICAL,14601.0,5.62,1
10252,27,119565.0,1,RENT,PERSONAL,5250.0,7.86,0
10253,36,74121.0,1,RENT,MEDICAL,10061.0,13.63,1
10254,46,100101.0,12,RENT,PERSONAL,10609.0,15.5,0
10255,22,66433.0,2,MORTGAGE,PERSONAL,4603.0,18.33,1
10256,21,78309.0,4,RENT,VENTURE,14046.0,15.38,1
10257,32,102468.0,3,MORTGAGE,PERSONAL,19485.0,14.9,0
10258,25,79254.0,1,RENT,VENTURE,22805.0,11.02,0
10259,57,102293.0,14,RENT,EDUCATION,9857.0,5.52,0
10260,52,72853.0,10,OWN,MEDICAL,13620.0,7.18,1
10261,29,73405.0,13,RENT,VENTURE,10177.0,12.98,0
10262,61,101652.0,13,MORTGAGE,MEDICAL,24466.0,14.95,0
10263,55,78527.0,9,RENT,DEBTCONSOLIDATION,25042.0,11.34,0
10264,39,112227.0,1,RENT,EDUCATION,20645.0,15.73,0
10265,36,35492.0,13,MORTGAGE,DEBTCONSOLIDATION,26405.0,12.81,1
10266,23,43811.0,5,MORTGAGE,DEBTCONSOLIDATION,13826.0,6.54,0
10267,40,59272.0,6,RENT,PERSONAL,15890.0,8.19,0
10268,44,107010.0,11,RENT,PERSONAL,18892.0,17.26,0
10269,53,82153.0,9,MORTGAGE,DEBTCONSOLIDATION,20763.0,15.65,1
10270,44,89110.0,5,MORTGAGE,PERSONAL,29740.0,18.03,1
10271,31,48979.0,6,MORTGAGE,MEDICAL,27263.0,7.15,1
10272,28,63328.0,0,RENT,PERSONAL,23136.0,19.36,0
10273,56,47867.0,5,MORTGAGE,DEBTCONSOLIDATION,15830.0,8.43,1
10274,58,94234.0,10,RENT,PERSONAL,11484.0,5.66,1
10275,60,60851.0,2,RENT,PERSONAL,7495.0,19.46,1
10276,40,66279.0,0,MORTGAGE,VENTURE,13267.0,9.44,0
10277,55,108402.0,7,RENT,VENTURE,21593.0,14.85,0
10278,45,50449.0,3,RENT,DEBTCONSOLIDATION,9398.0,7.97,0
10279,55,111221.0,9,RENT,MEDICAL,8743.0,13.62,1
10280,45,40451.0,7,RENT,EDUCATION,24032.0,18.16,0
10281,49,76316.0,9,MORTGAGE,EDUCATION,7171.0,9.98,1
10282,38,98064.0,13,MORTGAGE,DEBTCONSOLIDATION,18005.0,14.88,0
10283,38,98761.0,10,RENT,MEDICAL,26274.0,8.13,1
10284,22,73870.0,3,OWN,MEDICAL,18708.0,14.25,0
10285,55,65873.0,3,MORTGAGE,MEDICAL,28569.0,10.21,1
10286,36,93627.0,11,MORTGAGE,VENTURE,15004.0,8.46,0
10287,61,101155.0,13,RENT,DEBTCONSOLIDATION,12962.0,9.88,1
10288,56,60372.0,9,MORTGAGE,EDUCATION,12775.0,8.0,1
10289,53,38642.0,3,MORTGAGE,MEDICAL,5557.0,18.13,0
10290,24,63001.0,5,RENT,DEBTCONSOLIDATION,5587.0,11.06,1
10291,53,69064.0,13,RENT,EDUCATION,18535.0,8.93,0
10292,34,49122.0,8,RENT,VENTURE,2954.0,11.78,0
10293,41,59820.0,4,MORTGAGE,PERSONAL,15794.0,9.99,0
10294,40,103431.0,11,RENT,EDUCATION,22738.0,15.92,1
10295,28,90745.0,12,OWN,EDUCATION,28947.0,19.1,0
10296,27,85081.0,9,RENT,EDUCATION,25544.0,11.63,0
10297,23,105902.0,13,MORTGAGE,PERSONAL,27767.0,17.55,1
10298,37,43711.0,14,RENT,MEDICAL,2687.0,13.42,1
10299,53,53793.0,7,MORTGAGE,PERSONAL,10501.0,7.7,1
10300,32,43199.0,7,MORTGAGE,EDUCATION,17138.0,15.17,1
10301,42,111253.0,3,RENT,VENTURE,11694.0,12.69,0
10302,42,71191.0,14,OWN,EDUCATION,5127.0,14.61,0
10303,50,45211.0,10,RENT,VENTURE,25147.0,17.96,1
10304,58,98069.0,9,MORTGAGE,DEBTCONSOLIDATION,14760.0,11.67,0
10305,58,91746.0,8,OWN,VENTURE,13559.0,18.12,0
10306,28,56542.0,8,RENT,EDUCATION,16796.0,16.01,1
10307,47,66312.0,4,RENT,PERSONAL,5395.0,12.34,0
10308,47,80242.0,5,RENT,EDUCATION,27389.0,13.95,0
10309,54,90388.0,4,MORTGAGE,EDUCATION,2845.0,10.06,0
10310,41,76258.0,2,MORTGAGE,DEBTCONSOLIDATION,3164.0,19.27,1
10311,50,112960.0,10,MORTGAGE,MEDICAL,14954.0,14.84,0
10312,53,119388.0,7,RENT,EDUCATION,7904.0,6.11,0
10313,48,57601.0,8,RENT,DEBTCONSOLIDATION,15731.0,10.07,1
10314,53,53020.0,14,MORTGAGE,PERSONAL,28343.0,14.23,0
10315,25,43155.0,3,RENT,DEBTCONSOLIDATION,23744.0,6.29,1
10316,39,104119.0,8,MORTGAGE,DEBTCONSOLIDATION,2354.0,5.83,0
10317,24,116051.0,8,RENT,VENTURE,20256.0,11.8,1
10318,55,71777.0,6,RENT,MEDICAL,20408.0,10.16,0
10319,37,54710.0,7,MORTGAGE,MEDICAL,4817.0,11.64,0
10320,64,59532.0,14,MORTGAGE,PERSONAL,5832.0,9.18,0
10321,48,53601.0,2,MORTGAGE,DEBTCONSOLIDATION,14467.0,7.81,0
10322,50,98227.0,14,RENT,PERSONAL,10257.0,15.15,0
10323,49,39967.0,4,RENT,PERSONAL,15107.0,12.7,0
10324,26,119289.0,2,OWN,MEDICAL,14458.0,8.3,0
10325,55,55022.0,6,MORTGAGE,MEDICAL,12713.0,9.97,1
10326,61,78463.0,5,MORTGAGE,MEDICAL,4581.0,13.79,0
10327,57,109671.0,10,RENT,EDUCATION,11582.0,6.51,0
10328,44,40722.0,2,MORTGAGE,DEBTCONSOLIDATION,27706.0,7.56,1
10329,49,62413.0,8,MORTGAGE,PERSONAL,20870.0,6.53,1
10330,51,76258.0,11,MORTGAGE,DEBTCONSOLIDATION,27410.0,16.87,1
10331,55,118596.0,0,OWN,PERSONAL,10418.0,16.03,1
10332,53,101732.0,9,RENT,PERSONAL,20827.0,16.05,0
10333,41,47297.0,2,MORTGAGE,PERSONAL,27303.0,15.53,1
10334,52,103323.0,14,OWN,PERSONAL,16419.0,14.87,1
10335,43,58816.0,14,MORTGAGE,VENTURE,13814.0,12.18,1
10336,53,75695.0,14,MORTGAGE,VENTURE,3036.0,14.49,0
10337,23,54702.0,10,MORTGAGE,EDUCATION,12024.0,6.04,0
10338,38,60242.0,14,OWN,MEDICAL,12932.0,14.2,0
10339,45,90841.0,9,RENT,PERSONAL,27068.0,16.39,1
10340,62,102712.0,10,RENT,DEBTCONSOLIDATION,9435.0,12.51,1
10341,51,88574.0,6,RENT,VENTURE,3548.0,10.51,0
10342,23,63482.0,2,RENT,MEDICAL,27719.0,9.38,1
10343,60,44171.0,13,RENT,EDUCATION,7065.0,14.5,0
10344,44,38696.0,2,RENT,MEDICAL,24880.0,15.2,0
10345,52,55058.0,1,RENT,PERSONAL,24567.0,17.69,0
10346,42,55313.0,8,RENT,MEDICAL,22341.0,10.29,1
10347,43,54149.0,10,RENT,PERSONAL,5407.0,16.28,1
10348,22,88521.0,3,RENT,VENTURE,2639.0,13.36,0
10349,47,80740.0,9,MORTGAGE,VENTURE,2172.0,17.86,0
10350,62,39956.0,12,OWN,PERSONAL,7666.0,12.89,0
10351,22,110731.0,5,RENT,DEBTCONSOLIDATION,6354.0,12.75,0
10352,46,117612.0,1,MORTGAGE,VENTURE,22343.0,13.59,1
10353,37,101641.0,8,MORTGAGE,DEBTCONSOLIDATION,27092.0,15.99,0
10354,60,98811.0,14,RENT,PERSONAL,27098.0,19.01,1
10355,53,87160.0,6,MORTGAGE,PERSONAL,12109.0,6.53,0
10356,29,86313.0,9,MORTGAGE,VENTURE,4886.0,6.25,0
10357,63,98232.0,4,MORTGAGE,DEBTCONSOLIDATION,4164.0,18.63,0
10358,59,50417.0,6,RENT,PERSONAL,28505.0,12.92,1
10359,49,59729.0,13,MORTGAGE,VENTURE,5945.0,14.11,0
10360,62,65099.0,3,RENT,PERSONAL,23619.0,12.25,1
10361,46,64961.0,12,OWN,MEDICAL,12401.0,6.81,0
10362,55,47602.0,9,MORTGAGE,MEDICAL,9746.0,16.25,1
10363,45,44256.0,12,OWN,VENTURE,13975.0,15.96,1
10364,44,69681.0,14,MORTGAGE,PERSONAL,20974.0,9.86,1
10365,33,99789.0,6,RENT,VENTURE,9754.0,9.79,1
10366,27,78361.0,1,MORTGAGE,EDUCATION,17596.0,17.23,1
10367,56,99503.0,6,OWN,VENTURE,23318.0,6.51,0
10368,40,69540.0,14,RENT,VENTURE,22460.0,17.84,1
10369,21,61536.0,3,OWN,MEDICAL,7185.0,9.09,0
10370,28,119700.0,3,RENT,MEDICAL,3093.0,13.8,1
10371,36,98043.0,0,RENT,PERSONAL,5880.0,18.6,0
10372,34,113532.0,11,MORTGAGE,VENTURE,12686.0,14.99,1
10373,32,91575.0,2,RENT,VENTURE,24943.0,11.3,1
10374,43,37871.0,4,MORTGAGE,PERSONAL,12771.0,15.15,1
10375,35,81002.0,4,RENT,DEBTCONSOLIDATION,12680.0,10.32,0
10376,48,84812.0,1,RENT,PERSONAL,4785.0,9.38,1
10377,54,57626.0,3,MORTGAGE,MEDICAL,24449.0,19.45,0
10378,22,94979.0,0,RENT,MEDICAL,16799.0,16.01,1
